Category,Action,Behavior,Result
Universal Access,Create Single Payer System,Everyone Gets Covered,Better Costs
Universal Access,Create Single Payer System,Everyone Gets Covered,More Equitable
Universal Access,Create Single Payer System,Everyone Gets Covered,Increased Preventative Medicine
Universal Access,Give Patients Their Data,Self Care,Better Costs
Universal Access,Give Patients Their Data,Self Care,Increased Preventative Medicine
Universal Access,Give Patients Their Data,Patients Can Take Charge of Their Own Health,More Equitable
Universal Access,Give Patients Their Data,Patients Can Take Charge of Their Own Health,More Health Conscious People
Universal Access,Enable On-Demand Care,Self Care,Better Costs
Universal Access,Enable On-Demand Care,Self Care,Increased Preventative Medicine
Universal Access,Train More Primary Care Workers,Primary Caregivers Spend More Time with Patients, Collectively Offer More Appointments,Better Care
Universal Access,Train More Primary Care Workers,Primary Caregivers Spend More Time with Patients, Collectively Offer More Appointments,More Equitable
Universal Access,Create Health Data Standard,Improve Interoperability,Better Care
Universal Access,Create Health Data Standard,Improve Interoperability,Fewer Unnecessary Tests
Universal Access,Create Health Data Standard,Improve Interoperability,Reduced Errors
Universal Access,Create Health Data Standard,Improve Interoperability,Increased Efficiency
Universal Access,Create Health Data Standard,People Shop for Quality and Cost,Better Costs
Universal Access,Create Health Data Standard,People Shop for Quality and Cost,Better Care
Near Perfect Quality,Destigmatize Death,People Value Quality of Life,Better Care
Near Perfect Quality,Improve Doctor Training,Clinicians Communicate Better with Patients,Fewer Unnecessary Tests
Near Perfect Quality,Improve Doctor Training,Clinicians Communicate Better with Patients,Fewer Hospital Visits
Near Perfect Quality,Improve Doctor Training,Clinicians Communicate Better with Patients,Better Care
Near Perfect Quality,Improve Doctor Training,Clinicians Communicate Better with Patients,Reduced Errors
Near Perfect Quality,Coordinate Care,Clinicians Communicate Better with Patients,Fewer Unnecessary Tests
Near Perfect Quality,Coordinate Care,Clinicians Communicate Better with Patients,Fewer Hospital Visits
Near Perfect Quality,Coordinate Care,Clinicians Communicate Better with Patients,Better Care
Near Perfect Quality,Coordinate Care,Clinicians Communicate Better with Patients,Reduced Errors
Near Perfect Quality,Individuzalize Medicine,Tailored Treatment Plans,Fewer Unnecessary Tests
Near Perfect Quality,Individuzalize Medicine,Tailored Treatment Plans,Better Care
Much Better Prices,Make Prices Transparent,People Shop for Quality and Cost,Better Costs
Much Better Prices,Make Prices Transparent,People Shop for Quality and Cost,Better Care
Much Better Prices,Incentivize Outcomes,Fees for Outcomes Instead of Fees for Services,Better Costs
Much Better Prices,Incentivize Outcomes,Fees for Outcomes Instead of Fees for Services,Fewer Unnecessary Tests
Much Better Prices,Incentivize Outcomes,Fees for Outcomes Instead of Fees for Services,Increased Efficiency
Much Better Prices,Reform Malpractice Laws,Clinicians Don't Have to Cover Their Butts,Better Costs
Much Better Prices,Reform Malpractice Laws,Clinicians Don't Have to Cover Their Butts,Fewer Unnecessary Tests
